Rank;Articles;PF;RM
49;https://api.istex.fr/document/28B157926F0DBBD36EEA32FBC1E09A892012ED85/fulltext/pdf;0;0
50;https://api.istex.fr/document/B8B469C82ECF240FE208D96DBAFDB715A2A6D235/fulltext/pdf;  ;
51;https://api.istex.fr/document/68FF900E674D891FAA258ACA3BDE54AB7B07F74B/fulltext/pdf;  ;
52;https://api.istex.fr/document/058A4C64AE0BC2074B17C921BB478BE302D6A086/fulltext/pdf;0;1
53;https://api.istex.fr/document/AB48603A16B1AEC37D05ABD952959A45F95B87B2/fulltext/pdf;0.5;0.5
54;https://api.istex.fr/document/78E7CB978894B4290F906BF7F8061CB2602E23A1/fulltext/pdf;1;0.5
55;https://api.istex.fr/document/3507F2B5143AF47B88F0ED93BE56BC134F4D1CB4/fulltext/pdf;  ; 
56;https://api.istex.fr/document/F634E602EC6C9E406BF600F679A2D920390EA2B6/fulltext/pdf;0.5;0.5
57;https://api.istex.fr/document/4510D9B50D67B97F735FEEFC8BCF2622FCDB1CDA/fulltext/pdf;  ;
58;https://api.istex.fr/document/D7EB2D459B44BD022BAA25CE747CE7FBAAD7D640/fulltext/pdf;0;0.5
59;https://api.istex.fr/document/70DF1B1EDA3ADFD28BE2499E30AFA069A31AA414/fulltext/pdf;0;0
60;https://api.istex.fr/document/2AEFBFF9AA32683B78D35EA066EE15FEE95A06F2/fulltext/pdf;  ;
61;https://api.istex.fr/document/197816376443FB9A7AA5983782C9C0AF01B96DCF/fulltext/pdf;0;0
62;https://api.istex.fr/document/737ADE29E4FB3F4D0EBC8F9886CDB251D5F3EBDD/fulltext/pdf;  ;
63;https://api.istex.fr/document/2975C7A654B41CEFBB4C76E8EDB1E85DBEC0E1FF/fulltext/pdf;  ;
64;https://api.istex.fr/document/3FD43CB5167C1556C0568A7F6CE9DCEDC0343708/fulltext/pdf;  ;
65;https://api.istex.fr/document/FDCB456CEEA0A87A5018E82399D78567ED8877C1/fulltext/pdf;0;0
66;https://api.istex.fr/document/7FB9AD53E621A7FDE5882E0C4E6C7106CB588613/fulltext/pdf;  ;
67;https://api.istex.fr/document/FC3C8DDABC3B4F2D1420063ACB249B39B36532D2/fulltext/pdf;0;0
68;https://api.istex.fr/document/658BB9B1B8316ACB6335E161B45DD035828475B0/fulltext/pdf;0.5;1
69;https://api.istex.fr/document/10CF0A17213718109E73026BCD950C7388B31787/fulltext/pdf;0.5;0
70;https://api.istex.fr/document/A905C9DA556602D608D5A9293277E0F7FC37E8D4/fulltext/pdf;  ; 
71;https://api.istex.fr/document/B4A1266AFF13F3B6D8754EDEA02081DF2D201931/fulltext/pdf;  ; 
72;https://api.istex.fr/document/8F7D5E2E5E71DCECDEEFEBDC046D81DE28B2D23A/fulltext/pdf;0;0
73;https://api.istex.fr/document/4BCF7B75F02D4C13F5127E60F5E9E029E114A6C3/fulltext/pdf;0.5;0.5
74;https://api.istex.fr/document/7B8A1DE1D6134FF36F639B52CAF440EFE9305B3E/fulltext/pdf;  ;
75;https://api.istex.fr/document/3E8515BA858E3D94C781D1C4A64B49308B5C18EC/fulltext/pdf;  ;
76;https://api.istex.fr/document/6FD67F5B42B7D0A234C22D1F6D33CA7EF05A3E3B/fulltext/pdf;0;0.5
77;https://api.istex.fr/document/71B8DCE8364F6855143F6B3BC41B13D42D77A8F7/fulltext/pdf;  ;
78;https://api.istex.fr/document/80B0D65FE1046220D7BEB9D1F313431449C0A435/fulltext/pdf;0.5;0
79;https://api.istex.fr/document/578A0597279C6D03742A39563D5E78DFE42039DA/fulltext/pdf;0;0
80;https://api.istex.fr/document/2F7B10432E02F50F4FE2BF21E279A93557A935B3/fulltext/pdf;0;0
81;https://api.istex.fr/document/A335ACB3530FCEFB557ABE577B71518A0C3EC320/fulltext/pdf;0;0
82;https://api.istex.fr/document/AC61D0F557B3814B6C34BE5B22664F5E83238197/fulltext/pdf;  ;
83;https://api.istex.fr/document/F2B55476B07D461A181F40D5EE8215B6CBD9B820/fulltext/pdf;0;0
84;https://api.istex.fr/document/A5FDACEFC3E94871B0366681477A1C57BBB0692C/fulltext/pdf;  ;
85;https://api.istex.fr/document/B2F5C9B8B18FB95044648048F2B85CEC7D40BD93/fulltext/pdf;0;0
86;https://api.istex.fr/document/0634ABB24F486FE9C5569D94B3B6A029C9DB47C3/fulltext/pdf;  ;
87;https://api.istex.fr/document/9A1BBD3AC408F42F669B2F2755730FB5DCF2AFC8/fulltext/pdf;0;0
88;https://api.istex.fr/document/D85BA86D4A805339E3CC4412BE8AEAD8BF62794A/fulltext/pdf;0;0
89;https://api.istex.fr/document/B3C32F3B1D0E5EAAA61939B9522BF843FD00BD34/fulltext/pdf;  ;
90;https://api.istex.fr/document/87B3369C5DD9F118B9931246705714C6F7A9EC8A/fulltext/pdf;  ;
91;https://api.istex.fr/document/D10BB37032099E3160840FAD56D2924C2B1D6392/fulltext/pdf;  ;
92;https://api.istex.fr/document/C79BCFDA521075B6A148A7FCB0E2A50881B2E209/fulltext/pdf;  ;
93;https://api.istex.fr/document/428A6F8F48CA5DC48CF12741A89AB646FAF04143/fulltext/pdf;  ;
94;https://api.istex.fr/document/AEFF1CFCF3A539C851A494376667D0BDD1CCB606/fulltext/pdf;  ;
95;https://api.istex.fr/document/108EA4434F7DCDF0326E4CA90C0499C157AB500B/fulltext/pdf;  ;
96;https://api.istex.fr/document/7CCA860261FC3CA9C37FD68D956CD0381EB35C11/fulltext/pdf;0.5;0
97;https://api.istex.fr/document/62136B13CEE51348F25F822471167B505728141C/fulltext/pdf;0;0
98;https://api.istex.fr/document/C92F3D2866872E94D837C5B8F22E415A44642CBE/fulltext/pdf;  ;
99;https://api.istex.fr/document/207E0251ADA728056F3B3D75EF8D784A230C5B9C/fulltext/pdf;  ;
100;https://api.istex.fr/document/2F00674EABB9C8AE807CD42FCEBA426763C96E72/fulltext/pdf;  ;
101;https://api.istex.fr/document/569098D6133BE32FF07F59590A4E58FD05B750A3/fulltext/pdf;0.5;0
102;https://api.istex.fr/document/CC9ABCE2D03876D72D2B6012A58FE2CE8CEB4452/fulltext/pdf;  ;
103;https://api.istex.fr/document/082FE30FE80795F67003D53D782BC3D92B710FD7/fulltext/pdf;  ;
104;https://api.istex.fr/document/C9DCF8DCA5B828A9E5B991E32A3BAC5134A584C3/fulltext/pdf;  ;
105;https://api.istex.fr/document/BAD155BAD0DF036BED514B8CDAF58DD6FBDEF6DE/fulltext/pdf;  ;
106;https://api.istex.fr/document/544890A802DF31C6EBAB0DD350879B3DBD54E606/fulltext/pdf;  ;
107;https://api.istex.fr/document/38FF583D9766F424D800EA858B767C728DE84613/fulltext/pdf;0.5;0
108;https://api.istex.fr/document/C3BF2C640DE7C1C94DFB62186E8F83DC908EF6D1/fulltext/pdf;  ;
109;https://api.istex.fr/document/B1B4B6A623D913AA12CC150D57C9068F73295862/fulltext/pdf;  ;
110;https://api.istex.fr/document/95B9BD5473E87FE9F57CEFED77A4919E4572B58E/fulltext/pdf;0.5;0
111;https://api.istex.fr/document/9D9A665B470E814FACB5FDEDFB5A820B62D4B89E/fulltext/pdf;0;0.5
112;https://api.istex.fr/document/625B03B2A6BAEBA5B6D119C35958894CD94B749F/fulltext/pdf;  ;
113;https://api.istex.fr/document/B1BEB7E400969A2E068B01C310197D27B158CDA0/fulltext/pdf;1;0.5
114;https://api.istex.fr/document/3C32D2B031AFBDD0A19F2FB3ACD7D9DE36B30DF3/fulltext/pdf;  ;
115;https://api.istex.fr/document/44BEA42E9AAF87DEE47ABFB7A56A87FFE90385DE/fulltext/pdf;0;0
116;https://api.istex.fr/document/5E1EF2786BABCDE95CF2B4EF17CCDA1618721EC9/fulltext/pdf;  ;
117;https://api.istex.fr/document/36FCD68EB02EAA23DBAA59DC5FA4396B0FCEA9B6/fulltext/pdf;0;0
118;https://api.istex.fr/document/18EB34E720626773738FBC018AA1E03BBA58EA30/fulltext/pdf;  ;
119;https://api.istex.fr/document/FC1B1BD54D470BAAC9CBA02C9C1BD97B5C3D04A2/fulltext/pdf;  ;
120;https://api.istex.fr/document/8B3579DF8632967A12304A914CC6269ABFC12DF1/fulltext/pdf;0;0.5
121;https://api.istex.fr/document/37AB183E2752FF6101A4F8BF4BEFEF241F8C6DD1/fulltext/pdf;0;0.5
122;https://api.istex.fr/document/8F7E5D657B5DB63FD18B0E661CEAD478BA612E67/fulltext/pdf;  ;
123;https://api.istex.fr/document/8C98F21E145B5276CF0A1E8BC8465E084C67F01E/fulltext/pdf;  ;
124;https://api.istex.fr/document/6F6831FB9027DDC3CE89233FA5D963A15A0D06D6/fulltext/pdf;  ;
125;https://api.istex.fr/document/17DACBAE2CAE9D3075A9EE4B0E06476C8493CA03/fulltext/pdf;0;0.5
126;https://api.istex.fr/document/EB36BEBDBDCEE032FEE30F0B1597C62F4183C07B/fulltext/pdf;  ;
127;https://api.istex.fr/document/6F4F21650E4C34720557E9B87539671844E2F420/fulltext/pdf;  ;
128;https://api.istex.fr/document/DC7CD78FB7C1B6747D566898A4BAD11778B46649/fulltext/pdf;  ;
129;https://api.istex.fr/document/1CA3722543C0970BF5E6314C3C7BED6E2471C099/fulltext/pdf;  ;
130;https://api.istex.fr/document/B04909F02863F1634273597975A50F594F79E03E/fulltext/pdf;1;0.5
131;https://api.istex.fr/document/DC9DAD4E84A4B5E34AEA824C794ED2184775B2EA/fulltext/pdf;0.5;0
132;https://api.istex.fr/document/350C7F6C46259B3CBAA8527A1B62F7C8FEAD7C05/fulltext/pdf;  ;
133;https://api.istex.fr/document/6ACED3800953FBC9C1805C356AA46DF151BE939C/fulltext/pdf;0.5;0
134;https://api.istex.fr/document/7A7988AF7C9E58BE7D73C4CCBE9A76E371875FE8/fulltext/pdf;1;1
135;https://api.istex.fr/document/58485F49764CC1642AE3AC248D821583EAE1D3F5/fulltext/pdf;  ;
136;https://api.istex.fr/document/E3C6655CBD4AF5E0DCF9168005C7E73A50E1A907/fulltext/pdf;  ; 
137;https://api.istex.fr/document/BFD65F6234885359D2004C390BBD2C0744A576D7/fulltext/pdf;  ; 
138;https://api.istex.fr/document/43A7FCEB45D4CBE1527FA1142F89630EF79602B9/fulltext/pdf;  ; 
139;https://api.istex.fr/document/6507E28B186FDD5C6040FA815CAECA052A85D3AD/fulltext/pdf;  ; 
140;https://api.istex.fr/document/5746E04F42660BB303FE6C0B58E03EC68BC70D03/fulltext/pdf;  ; 
141;https://api.istex.fr/document/7894BA3764E042D6AC444A86004D0FC47C4B9572/fulltext/pdf;0;0
142;https://api.istex.fr/document/0A7E556039A8BFAC7A9CF5833AFFBCB481CCD9E0/fulltext/pdf;  ; 
143;https://api.istex.fr/document/6D2A65B4F29B16FDF1B1E2468A80E200CF38CFD2/fulltext/pdf;0.5;1
144;https://api.istex.fr/document/2219DEEE853EC9EB2D5C776377EB0679C0F3B0E2/fulltext/pdf;1;1
145;https://api.istex.fr/document/E164AB8D200CA92BDF6FAD8D22157537EB8959B2/fulltext/pdf;  ; 
146;https://api.istex.fr/document/2DE40C891D7309915A86555BD99AC24993CBEF42/fulltext/pdf;0.5;1
147;https://api.istex.fr/document/B2633A643EE430CFA79E917F6F21C6CB67B1911A/fulltext/pdf;  ; 
148;https://api.istex.fr/document/12A14C3F24B6D9C7FF577A15413710966082BB92/fulltext/pdf;  ; 
149;https://api.istex.fr/document/C7448870DEB7230CCA90F9BCCAADD30AB855B169/fulltext/pdf;0;0.5
150;https://api.istex.fr/document/B293C575524BB7FA9641F53CA494DD0C41E1419E/fulltext/pdf;  ; 
151;https://api.istex.fr/document/356B8AF3B82EF3F4956B7C1062EA1A0296E9D56F/fulltext/pdf;0;1
152;https://api.istex.fr/document/7AA84854A6D24FB55AAB6EAF0B7E509119B62C0E/fulltext/pdf;  ; 
153;https://api.istex.fr/document/F2571B3073C07309BDD0D5E12A61E306F00D00A7/fulltext/pdf;  ; 
154;https://api.istex.fr/document/7FA5D6DB93EE76F1AF06347561E1610BAF7879A4/fulltext/pdf;  ; 
155;https://api.istex.fr/document/4548ED23976EFF46DEAF58EE2A9484BE46E9DCB5/fulltext/pdf;  ; 
156;https://api.istex.fr/document/1BC5D64961BFF8E7DBBA49CAC584FA01E01555F2/fulltext/pdf;  ; 
157;https://api.istex.fr/document/7A44EC2FFCF489597AA9CA6826AD065E7A9F0AEF/fulltext/pdf;  ; 
158;https://api.istex.fr/document/DAA8BF795C6326071C52AF38FA79FA8F8CA23741/fulltext/pdf;  ; 
159;https://api.istex.fr/document/79A97DB86A45AC516A5747C84BB478B88C59FD31/fulltext/pdf;1;1
160;https://api.istex.fr/document/D637C9B75A453FC6FF6C946BC2AEDAAC392DB20A/fulltext/pdf;  ; 
161;https://api.istex.fr/document/3518828A06A27E048BF36D8309569CC73D5E94EB/fulltext/pdf;0;0.5
162;https://api.istex.fr/document/38CBDE3352B2A19348A73AF926343A3ECF2A2A53/fulltext/pdf;0;0
163;https://api.istex.fr/document/34FA03814FB1B8C5DB7E1124AFB6933263ED9406/fulltext/pdf;  ; 
164;https://api.istex.fr/document/936BF9CB70D4B2E994F98D316A1665B3064E46D0/fulltext/pdf;0;0
165;https://api.istex.fr/document/85AD41C8E4A42B8E7FFB2E5DDC2FEE18208F4BFD/fulltext/pdf;0;0
166;https://api.istex.fr/document/1FB990B4CDC75D85549E648A4B7959AE4D86E6A6/fulltext/pdf;0;0
167;https://api.istex.fr/document/0987992DAB579C83521BABD54F3DD7840B5709F0/fulltext/pdf;  ; 
168;https://api.istex.fr/document/106116602FC83108C7BB2C9377269F1DB24BFCFA/fulltext/pdf;0;0
169;https://api.istex.fr/document/99210379CE52EFA7187247BA642DE90B34146015/fulltext/pdf;0.5;0
170;https://api.istex.fr/document/DD13F00C3BAF53713BAF73573690B9A50161FFDD/fulltext/pdf;  ; 
171;https://api.istex.fr/document/6B362D0FD7DE687B740694EEC72879FF7FA9AEFF/fulltext/pdf;  ; 
172;https://api.istex.fr/document/67D235810A93155A9DAA87B11572DE3C69FB441C/fulltext/pdf;  ; 
173;https://api.istex.fr/document/A708FCF1D30EBC431E0906C5527F04653DC429AD/fulltext/pdf;  ; 
174;https://api.istex.fr/document/BFFE2732B1C50149A2F50316669165D461E1A26E/fulltext/pdf;  ; 
175;https://api.istex.fr/document/D50970A58CF8A67FA940DA39BDBCBAE6FDB30B86/fulltext/pdf;0.5;0
176;https://api.istex.fr/document/37D884CB311F78D8CFEDD4F361E0E6693727BA58/fulltext/pdf;  ; 
177;https://api.istex.fr/document/F11C1257F3E63B5D704341D8DB4EC7C3A6219240/fulltext/pdf;  ; 
178;https://api.istex.fr/document/1722A3228E7992B7AC8B2561FB739770E8C3FC22/fulltext/pdf;0.5;0
179;https://api.istex.fr/document/5D942EDE9CCA4281B6F642712DCB3399758378A0/fulltext/pdf;  ; 
180;https://api.istex.fr/document/27BE0D65130971BAE3051275C6BA04D974CE4CB2/fulltext/pdf;  ; 
181;https://api.istex.fr/document/C3C6D15DCF619D30D9049FA3A133612309223E1E/fulltext/pdf;  ; 
182;https://api.istex.fr/document/6A5A2D8CE8B7D2D2D9EE24B2464792B34A93BFEF/fulltext/pdf;0.5;0
183;https://api.istex.fr/document/D5A65E2FF25B6C82BFB7CCD0DB42BBD15DEA2237/fulltext/pdf;  ; 
184;https://api.istex.fr/document/D551F404174BE9868630BF420F2252B5ECB9D816/fulltext/pdf;  ; 
185;https://api.istex.fr/document/CBE983840997B5152308A34731318D2B5BF2C09E/fulltext/pdf;0.5;0
186;https://api.istex.fr/document/30E56E1985B82F37B5E395C17A8499FB0DD295EF/fulltext/pdf;0.5;1
187;https://api.istex.fr/document/2F6E4CAF9298045470CB8BBB0D3732D3C6365839/fulltext/pdf;  ; 
188;https://api.istex.fr/document/5944AE7BB09EA073A2129496F4C3070E01C7A8E9/fulltext/pdf;0;0
189;https://api.istex.fr/document/731F907042066802122A1658D8E149EF29CB8F33/fulltext/pdf;  ; 
190;https://api.istex.fr/document/3AB8DC47675D3EAD82950654E755D9A59749EA14/fulltext/pdf;  ; 
191;https://api.istex.fr/document/0907D2C79315CA1286A07B625A6C4B95D0BACBD8/fulltext/pdf;0;0
192;https://api.istex.fr/document/B1B50E6BE969806CEF3E7CD03417BF2F3589F625/fulltext/pdf;  ; 
193;https://api.istex.fr/document/97E02712090290186E4F01DB5587F12109A2D15F/fulltext/pdf;  ; 
194;https://api.istex.fr/document/959C426D7D8A97DFC9D2DAEAAF76039060ACD0EA/fulltext/pdf;0.5;1
195;https://api.istex.fr/document/D95184EBA10B102F5622871172E0C4DEABB1D1F5/fulltext/pdf;  ; 
196;https://api.istex.fr/document/563B2DA058D97310F19E32640706CFB007496B2C/fulltext/pdf;  ; 
197;https://api.istex.fr/document/BD6E2124E9C3F6319C2136B22DE023CE432CAA83/fulltext/pdf;  ; 
198;https://api.istex.fr/document/13BF8A866EE05ADE1C5110DBECCFB62A4399F287/fulltext/pdf;0;0.5
199;https://api.istex.fr/document/CDA4B2848291DB570B8F6D78CCF7E309C007DE80/fulltext/pdf;  ; 
200;https://api.istex.fr/document/42F9E67B8C998F96991D8DC6DC8CE3C95CB30FF0/fulltext/pdf;0.5;0.5
201;https://api.istex.fr/document/7FECAA1FD90226026E1E002C84C18A8DEEFF0785/fulltext/pdf;  ; 
202;https://api.istex.fr/document/47E1782AD30FA629AB7E5F0B19EBB677538D88CB/fulltext/pdf;0.5;1
203;https://api.istex.fr/document/F5230D06E19378E2348A1D29DC989B1606F160C0/fulltext/pdf;  ; 
204;https://api.istex.fr/document/B804AD52E6078C70501968751FA1F48025D1D83C/fulltext/pdf;  ; 
205;https://api.istex.fr/document/1D331BDA136C38FD09697231AA16DCA6F05C52DA/fulltext/pdf;  ; 
206;https://api.istex.fr/document/27FCBB724A256E787425D9DC1415661B57179029/fulltext/pdf;0;0.5
207;https://api.istex.fr/document/FA418FE11ECE37589D2D814967A4E227CEA14964/fulltext/pdf;1;1
208;https://api.istex.fr/document/451C2CBF21F5141BD4070E7EBBE3BF0AECCFC577/fulltext/pdf;  ; 
209;https://api.istex.fr/document/C17219CA6B837DEEA5856D8EDF0F8B8122EEA18D/fulltext/pdf;  ; 
210;https://api.istex.fr/document/DB25A1F647D255378A50E4F63DEBA5CE7F19F3BF/fulltext/pdf;  ; 
211;https://api.istex.fr/document/E81D9A37B81E291F36A56D0EF1EC11046C8E2439/fulltext/pdf;  ; 
212;https://api.istex.fr/document/F6BC3EB4D5F8BC0BCE1DD5E14F282997CA8A8F0B/fulltext/pdf;  ; 
213;https://api.istex.fr/document/DCFC42022020254B8C2742289241DBDB7A800D97/fulltext/pdf;  ; 
214;https://api.istex.fr/document/50FA02CB8327216391312E8C4A88CB37FBB6B28A/fulltext/pdf;  ; 
215;https://api.istex.fr/document/2DD0E5A00ECB282278A8C4C0F6138C98F4412117/fulltext/pdf;  ; 
216;https://api.istex.fr/document/DC25B222E78989497202FCBD59CD9D5D548B7A5F/fulltext/pdf;  ; 
217;https://api.istex.fr/document/02009F5ECC4C6D0FD55B00C789F2ABEF753EF730/fulltext/pdf;0.5;0.5
218;https://api.istex.fr/document/D3D71F86B02BF2F1D06CBD56D04F0E24028DDB45/fulltext/pdf;  ; 
219;https://api.istex.fr/document/E99A1247A11E906EC03702C9FA036F7CE8EA9C23/fulltext/pdf;0.5;0.5
220;https://api.istex.fr/document/4C9E3D5C0A07F4C6B09D6D3F047E05E4D4C07E2F/fulltext/pdf;1;1
221;https://api.istex.fr/document/4902517B6E4113709FC0346BE33EAB0AB1B9F94D/fulltext/pdf;  ; 
222;https://api.istex.fr/document/1BE22EC404857F4ECB0DF2BD73C7EEBC392F56D7/fulltext/pdf;  ; 
223;https://api.istex.fr/document/230526C7A1D108405FA673664AC287058670FC5C/fulltext/pdf;  ; 
224;https://api.istex.fr/document/5F76F834EDC2AF869B101166B17A085108F7798E/fulltext/pdf;0;0.5
225;https://api.istex.fr/document/DAAD0277CA0B74D6F902E822BB6156EC744338A5/fulltext/pdf;  ; 
226;https://api.istex.fr/document/C0A92C72385E36EED4C4D0F75367809814776C03/fulltext/pdf;  ; 
227;https://api.istex.fr/document/0E7CEB07481B4F9A4E7F7EF2B8362A8845173DD0/fulltext/pdf;  ; 
228;https://api.istex.fr/document/CE6FF758F62CE9710F336CBC7ECEA59AEDDE7A94/fulltext/pdf;  ; 
229;https://api.istex.fr/document/4315D4F5F9B70EE713AAA8E0E9F0C2851E8C9F66/fulltext/pdf;  ; 
230;https://api.istex.fr/document/2906EB0C7F50B223749DFBCFC96F770B81174DFE/fulltext/pdf;0;0
231;https://api.istex.fr/document/7B1F1640613D41313E4948D99D16AF4F41F363ED/fulltext/pdf;  ; 
232;https://api.istex.fr/document/96E455E11F76BE26932E59983D4CCECC71614633/fulltext/pdf;1;1
233;https://api.istex.fr/document/ED744E9AD5FFC204445E9794F7ADFDC62A8353D1/fulltext/pdf;  ; 
234;https://api.istex.fr/document/8DB713330DFA525A4F59697D8608BA4736C7239E/fulltext/pdf;  ; 
235;https://api.istex.fr/document/6704AC1127AA16DAC7CBA30810929F3754EB14CC/fulltext/pdf;  ; 
236;https://api.istex.fr/document/0B0DACF8434875D32F2C08A17D8EA130300F4D01/fulltext/pdf;  ; 
237;https://api.istex.fr/document/626B395769ECD182E819D16726852F92A632D49C/fulltext/pdf;  ; 
238;https://api.istex.fr/document/4E608B49EFFE4264711108AEA0D8943866750E74/fulltext/pdf;  ; 
239;https://api.istex.fr/document/1E8FBD2C591A5FAE58B84DA99ECECBE8A6202D8C/fulltext/pdf;  ; 
240;https://api.istex.fr/document/D9F05ED6EA3DFE94BE8FB121B21D9ACBEFD1F457/fulltext/pdf;  ; 
241;https://api.istex.fr/document/41D539191D685D997D36FB11AE03B6FA6296E338/fulltext/pdf;0.5;0.5
242;https://api.istex.fr/document/B26E3EDE144BB7E97C37E3632EA0E0916F0E2C8D/fulltext/pdf;  ; 
243;https://api.istex.fr/document/4E39D5FE285D5A371856AA6471CE72CA64E1562A/fulltext/pdf;  ; 
244;https://api.istex.fr/document/EDF294DA31C2FD42FD64906DB3FFD298380AB4CB/fulltext/pdf;  ; 
245;https://api.istex.fr/document/788C1D87409FDC2011EBEA683578AFAD27EE7F44/fulltext/pdf;  ; 
246;https://api.istex.fr/document/EDB1172C2EF4785B14FB74C48BA750F3CF7A8F37/fulltext/pdf;  ; 
247;https://api.istex.fr/document/D1A39BB27DDBACE49307C8CBEE64C3A71B65E79F/fulltext/pdf;  ; 
